,Rank,BankName,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,1,JPMorgan Chase,0.43,0.34,0.4,35.67
1,2,Bank of America,0.23,0.18,0.21,19.08
2,3,Industrial and Commercial Bank of China,0.19,0.15,0.18,15.76
3,4,Agricultural Bank of China,0.16,0.13,0.15,13.27
4,5,HDFC Bank,0.16,0.13,0.15,13.27
5,6,Wells Fargo,0.16,0.13,0.15,13.27
6,7,HSBC Holdings PLC,0.15,0.12,0.14,12.44
7,8,Morgan Stanley,0.14,0.11,0.13,11.61
8,9,China Construction Bank,0.14,0.11,0.13,11.61
9,10,Bank of China,0.14,0.11,0.13,11.61
